
,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
90,1985,Atlantic,26.9026.9,34.9034.9,44.0044.0,54.1054.1,63.1063.1,68.1068.1,74.8074.8,72.5072.5,67.6067.6,57.7057.7,51.4051.4,32.7032.7
91,1986,Atlantic,32.3032.3,31.4031.4,42.8042.8,50.2050.2,63.1063.1,70.3070.3,75.8075.8,71.7071.7,66.0066.0,56.9056.9,44.9044.9,37.9037.9
92,1987,Atlantic,31.5031.5,31.2031.2,42.6042.6,49.6049.6,61.7061.7,71.6071.6,76.8076.8,72.6072.6,67.2067.2,51.2051.2,47.4047.4,38.2038.2
93,1988,Atlantic,27.4027.4,34.4034.4,42.5042.5,48.8048.8,60.1060.1,69.1069.1,76.3076.3,75.6075.6,64.3064.3,50.1050.1,46.2046.2,34.3034.3
94,1989,Atlantic,36.4036.4,34.2034.2,41.0041.0,49.5049.5,59.6059.6,72.3072.3,73.6073.6,73.0073.0,67.2067.2,57.0057.0,44.6044.6,24.9024.9
95,1990,Atlantic,40.1040.1,40.8040.8,44.7044.7,51.1051.1,59.3059.3,69.9069.9,75.1075.1,73.3073.3,64.7064.7,59.7059.7,47.9047.9,41.6041.6
96,1991,Atlantic,34.2034.2,38.7038.7,44.2044.2,53.0053.0,66.4066.4,71.2071.2,76.2076.2,75.3075.3,65.7065.7,56.3056.3,46.3046.3,39.4039.4
97,1992,Atlantic,34.3034.3,35.8035.8,39.6039.6,49.3049.3,57.3057.3,67.0067.0,74.0074.0,70.5070.5,66.2066.2,52.2052.2,46.0046.0,37.3037.3
98,1993,Atlantic,37.3037.3,30.6030.6,38.4038.4,50.6050.6,62.0062.0,69.9069.9,77.1077.1,74.0074.0,66.9066.9,54.0054.0,45.6045.6,35.3035.3
99,1994,Atlantic,27.0027.0,31.4031.4,40.9040.9,55.3055.3,58.2058.2,72.6072.6,77.3077.3,70.6070.6,64.8064.8,53.6053.6,50.1050.1,40.6040.6
100,1995,Atlantic,37.7037.7,31.2031.2,44.0044.0,50.5050.5,60.0060.0,69.2069.2,77.0077.0,74.4074.4,67.1067.1,59.1059.1,41.9041.9,31.9031.9
101,1996,Atlantic,31.8031.8,33.7033.7,37.4037.4,51.4051.4,58.8058.8,70.9070.9,72.6072.6,72.2072.2,67.9067.9,55.3055.3,40.6040.6,40.1040.1
102,1997,Atlantic,32.7032.7,39.7039.7,43.0043.0,49.4049.4,57.8057.8,67.9067.9,74.9074.9,72.2072.2,66.0066.0,55.4055.4,44.0044.0,38.0038.0
103,1998,Atlantic,40.6040.6,40.5040.5,44.2044.2,53.2053.2,63.1063.1,69.7069.7,75.1075.1,74.6074.6,69.8069.8,56.4056.4,45.9045.9,40.7040.7
104,1999,Atlantic,36.2036.2,36.5036.5,41.0041.0,50.9050.9,60.8060.8,70.3070.3,78.2078.2,74.8074.8,68.2068.2,54.8054.8,50.2050.2,39.7039.7
105,2000,Atlantic,31.9031.9,37.7037.7,46.6046.6,50.4050.4,62.7062.7,71.8071.8,72.0072.0,72.5072.5,65.5065.5,56.5056.5,44.0044.0,30.3030.3
106,2001,Atlantic,31.7031.7,36.9036.9,39.6039.6,52.2052.2,61.8061.8,72.4072.4,71.6071.6,76.1076.1,65.6065.6,56.3056.3,50.1050.1,42.8042.8
107,2002,Atlantic,38.4038.4,39.0039.0,44.7044.7,55.0055.0,60.7060.7,70.8070.8,76.7076.7,76.6076.6,68.6068.6,56.9056.9,44.6044.6,35.4035.4
108,2003,Atlantic,28.4028.4,30.2030.2,42.8042.8,49.7049.7,56.6056.6,68.6068.6,75.4075.4,75.9075.9,68.8068.8,54.5054.5,50.4050.4,37.0037.0
109,2004,Atlantic,27.2027.2,34.7034.7,43.9043.9,52.4052.4,67.0067.0,70.0070.0,74.8074.8,73.1073.1,68.7068.7,54.9054.9,47.4047.4,37.4037.4
110,2005,Atlantic,32.6032.6,35.7035.7,38.7038.7,52.1052.1,56.5056.5,71.7071.7,76.8076.8,77.1077.1,71.2071.2,57.9057.9,49.0049.0,34.8034.8
111,2006,Atlantic,40.7040.7,35.6035.6,42.9042.9,54.2054.2,61.8061.8,70.5070.5,77.2077.2,76.0076.0,65.8065.8,55.4055.4,51.2051.2,43.2043.2
112,2007,Atlantic,39.2039.2,29.2029.2,42.8042.8,49.8049.8,62.9062.9,71.0071.0,74.6074.6,74.9074.9,69.0069.0,63.5063.5,45.5045.5,38.0038.0
113,2008,Atlantic,36.0036.0,37.8037.8,43.6043.6,53.6053.6,59.1059.1,74.1074.1,77.0077.0,72.6072.6,68.6068.6,55.3055.3,45.2045.2,39.3039.3
114,2009,Atlantic,29.9029.9,37.0037.0,41.8041.8,53.4053.4,61.9061.9,68.4068.4,73.4073.4,76.4076.4,66.1066.1,55.4055.4,50.5050.5,36.5036.5
115,2010,Atlantic,32.8032.8,31.8031.8,47.1047.1,56.0056.0,64.2064.2,75.3075.3,79.0079.0,76.1076.1,70.7070.7,57.6057.6,46.5046.5,31.9031.9
116,2011,Atlantic,29.3029.3,37.5037.5,42.8042.8,55.6055.6,64.5064.5,73.4073.4,79.6079.6,74.5074.5,70.7070.7,57.5057.5,50.8050.8,42.5042.5
117,2012,Atlantic,38.4038.4,40.5040.5,50.7050.7,53.6053.6,65.4065.4,70.8070.8,78.8078.8,75.7075.7,68.2068.2,58.4058.4,43.0043.0,43.3043.3
118,2013,Atlantic,35.6035.6,34.8034.8,39.2039.2,52.1052.1,61.2061.2,71.7071.7,78.1078.1,71.9071.9,65.0065.0,58.2058.2,44.4044.4,39.1039.1
119,2014,Atlantic,28.6028.6,32.7032.7,37.6037.6,50.5050.5,62.3062.3,71.0071.0,73.8073.8,70.9070.9,67.6067.6,58.0058.0,43.8043.8,40.2040.2
120,2015,Atlantic,30.7030.7,25.2025.2,38.1038.1,52.1052.1,66.2066.2,71.4071.4,75.7075.7,74.7074.7,71.5071.5,55.8055.8,51.3051.3,50.5050.5
121,2016,Atlantic,33.7033.7,38.2038.2,48.0048.0,51.0051.0,60.2060.2,71.3071.3,77.9077.9,77.8077.8,70.9070.9,58.4058.4,47.9047.9,38.4038.4
122,2017,Atlantic,38.3038.3,42.6042.6,41.2041.2,57.2057.2,61.0061.0,71.2071.2,77.0077.0,72.8072.8,69.2069.2,61.5061.5,46.8046.8,35.6035.6
123,2018,Atlantic,31.8031.8,42.2042.2,39.4039.4,49.7049.7,65.8065.8,71.1071.1,76.7076.7,78.3078.3,72.4072.4,58.8058.8,45.1045.1,39.6039.6
124,2019,Atlantic,33.6033.6,36.9036.9,41.2041.2,55.9055.9,64.1064.1,72.4072.4,78.6078.6,75.3075.3,70.3070.3,60.0060.0,43.1043.1,39.5039.5

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Bergen,21.2021.2,29.7029.7,35.4035.4,48.8048.8,61.1061.1,68.3068.3,74.6074.6,74.2074.2,66.9066.9,55.4055.4,44.8044.8,31.5031.5
76,1971,Bergen,23.9023.9,30.8030.8,37.2037.2,47.5047.5,57.4057.4,70.4070.4,73.5073.5,71.7071.7,67.6067.6,58.9058.9,41.5041.5,37.4037.4
77,1972,Bergen,31.3031.3,27.6027.6,36.4036.4,46.5046.5,60.5060.5,65.8065.8,74.8074.8,71.8071.8,65.8065.8,49.3049.3,40.2040.2,35.5035.5
78,1973,Bergen,32.1032.1,29.4029.4,43.9043.9,50.9050.9,57.0057.0,71.6071.6,75.0075.0,74.9074.9,65.9065.9,55.9055.9,44.9044.9,35.9035.9
79,1974,Bergen,31.3031.3,28.9028.9,39.7039.7,52.4052.4,58.8058.8,66.7066.7,74.2074.2,72.9072.9,63.5063.5,49.9049.9,44.2044.2,35.9035.9
80,1975,Bergen,33.7033.7,32.9032.9,37.5037.5,45.3045.3,63.7063.7,69.1069.1,74.4074.4,72.4072.4,61.3061.3,56.5056.5,48.4048.4,33.1033.1
81,1976,Bergen,24.4024.4,36.3036.3,41.6041.6,52.9052.9,59.2059.2,71.7071.7,72.4072.4,71.8071.8,63.4063.4,49.9049.9,38.3038.3,26.9026.9
82,1977,Bergen,19.4019.4,30.5030.5,43.9043.9,51.4051.4,62.8062.8,67.7067.7,75.2075.2,72.5072.5,65.4065.4,51.8051.8,44.7044.7,31.2031.2
83,1978,Bergen,25.3025.3,23.0023.0,35.9035.9,48.8048.8,58.4058.4,68.8068.8,72.4072.4,73.6073.6,62.4062.4,52.2052.2,44.0044.0,34.4034.4
84,1979,Bergen,29.2029.2,20.6020.6,42.6042.6,49.1049.1,61.8061.8,66.9066.9,74.0074.0,72.4072.4,64.5064.5,52.6052.6,47.0047.0,35.7035.7
85,1980,Bergen,29.8029.8,27.0027.0,37.0037.0,51.5051.5,63.0063.0,67.6067.6,76.1076.1,76.2076.2,67.9067.9,51.8051.8,40.1040.1,28.0028.0
86,1981,Bergen,21.3021.3,35.4035.4,38.2038.2,52.6052.6,61.1061.1,70.2070.2,75.8075.8,72.0072.0,63.8063.8,50.0050.0,43.3043.3,31.8031.8
87,1982,Bergen,20.5020.5,31.4031.4,37.6037.6,47.6047.6,61.8061.8,65.9065.9,74.2074.2,69.9069.9,64.4064.4,53.8053.8,46.2046.2,38.6038.6
88,1983,Bergen,30.0030.0,32.1032.1,41.2041.2,49.0049.0,57.8057.8,70.2070.2,76.2076.2,74.5074.5,67.3067.3,53.6053.6,44.3044.3,31.0031.0
89,1984,Bergen,24.8024.8,36.4036.4,33.3033.3,48.7048.7,58.8058.8,71.5071.5,72.4072.4,74.0074.0,62.4062.4,57.7057.7,43.1043.1,39.2039.2
90,1985,Bergen,24.5024.5,32.0032.0,41.7041.7,52.5052.5,63.0063.0,66.5066.5,73.7073.7,72.2072.2,66.6066.6,54.6054.6,46.2046.2,30.3030.3
91,1986,Bergen,29.9029.9,28.3028.3,40.8040.8,51.0051.0,63.4063.4,68.9068.9,73.9073.9,70.3070.3,63.9063.9,54.2054.2,41.3041.3,35.4035.4
92,1987,Bergen,28.4028.4,29.8029.8,41.8041.8,51.1051.1,60.6060.6,70.9070.9,75.7075.7,70.9070.9,64.5064.5,49.9049.9,44.3044.3,36.2036.2
93,1988,Bergen,24.8024.8,30.9030.9,40.5040.5,48.6048.6,60.0060.0,69.3069.3,76.9076.9,75.8075.8,63.8063.8,49.0049.0,45.2045.2,32.3032.3
94,1989,Bergen,33.5033.5,31.2031.2,39.1039.1,48.5048.5,59.9059.9,70.4070.4,73.2073.2,71.7071.7,65.6065.6,55.0055.0,42.6042.6,21.9021.9
95,1990,Bergen,37.2037.2,36.4036.4,42.1042.1,50.4050.4,57.8057.8,69.7069.7,74.6074.6,72.9072.9,64.3064.3,58.4058.4,46.4046.4,39.0039.0
96,1991,Bergen,30.4030.4,36.4036.4,42.4042.4,52.9052.9,66.0066.0,71.6071.6,75.4075.4,74.6074.6,64.5064.5,54.8054.8,44.7044.7,36.7036.7
97,1992,Bergen,32.2032.2,33.9033.9,37.1037.1,47.6047.6,58.8058.8,67.5067.5,72.0072.0,69.6069.6,64.4064.4,50.6050.6,42.6042.6,34.1034.1
98,1993,Bergen,33.3033.3,26.8026.8,35.8035.8,50.1050.1,62.3062.3,69.9069.9,76.7076.7,73.9073.9,64.3064.3,51.6051.6,43.5043.5,33.4033.4
99,1994,Bergen,21.5021.5,26.2026.2,37.3037.3,52.3052.3,59.1059.1,72.2072.2,76.9076.9,70.7070.7,64.2064.2,53.1053.1,48.2048.2,38.2038.2
100,1995,Bergen,34.5034.5,28.0028.0,42.7042.7,49.0049.0,58.8058.8,69.8069.8,76.2076.2,74.6074.6,64.6064.6,57.5057.5,40.2040.2,29.2029.2
101,1996,Bergen,27.6027.6,30.8030.8,35.9035.9,49.8049.8,58.4058.4,69.8069.8,71.9071.9,72.5072.5,65.6065.6,53.6053.6,39.9039.9,38.0038.0
102,1997,Bergen,29.3029.3,37.5037.5,39.8039.8,49.0049.0,57.3057.3,68.7068.7,74.2074.2,71.2071.2,63.9063.9,53.5053.5,41.2041.2,35.2035.2
103,1998,Bergen,37.5037.5,38.6038.6,42.8042.8,52.0052.0,63.4063.4,67.8067.8,74.7074.7,74.5074.5,67.3067.3,54.7054.7,44.6044.6,39.6039.6
104,1999,Bergen,30.9030.9,35.0035.0,39.9039.9,51.1051.1,60.6060.6,71.2071.2,78.8078.8,73.5073.5,66.7066.7,52.7052.7,47.8047.8,36.8036.8
105,2000,Bergen,28.6028.6,34.3034.3,44.8044.8,49.0049.0,61.6061.6,69.8069.8,70.8070.8,70.8070.8,64.2064.2,54.1054.1,42.7042.7,28.6028.6
106,2001,Bergen,29.4029.4,33.2033.2,37.4037.4,51.3051.3,61.8061.8,70.9070.9,71.4071.4,76.1076.1,64.9064.9,55.2055.2,48.5048.5,40.7040.7
107,2002,Bergen,36.6036.6,37.9037.9,41.9041.9,53.4053.4,58.4058.4,70.1070.1,76.6076.6,75.6075.6,67.5067.5,52.8052.8,42.8042.8,32.9032.9
108,2003,Bergen,25.2025.2,26.9026.9,40.0040.0,47.7047.7,57.4057.4,67.4067.4,74.6074.6,75.2075.2,66.0066.0,52.2052.2,47.5047.5,35.0035.0
109,2004,Bergen,22.8022.8,32.0032.0,42.1042.1,51.9051.9,64.6064.6,69.4069.4,73.1073.1,72.5072.5,67.5067.5,53.9053.9,45.8045.8,35.4035.4
110,2005,Bergen,28.4028.4,33.3033.3,36.1036.1,52.8052.8,57.0057.0,73.1073.1,76.3076.3,77.2077.2,70.3070.3,55.5055.5,46.4046.4,31.7031.7
111,2006,Bergen,37.4037.4,33.2033.2,40.9040.9,53.2053.2,61.3061.3,70.2070.2,77.2077.2,74.0074.0,64.2064.2,53.6053.6,49.2049.2,41.1041.1
112,2007,Bergen,35.2035.2,26.2026.2,39.1039.1,48.2048.2,63.3063.3,70.5070.5,73.9073.9,72.8072.8,67.7067.7,61.3061.3,42.4042.4,34.1034.1
113,2008,Bergen,33.4033.4,33.0033.0,40.3040.3,52.7052.7,58.2058.2,72.8072.8,76.8076.8,71.4071.4,67.0067.0,52.8052.8,43.0043.0,35.0035.0
114,2009,Bergen,25.0025.0,33.8033.8,40.0040.0,52.4052.4,61.4061.4,67.2067.2,71.9071.9,74.7074.7,64.1064.1,52.7052.7,48.8048.8,33.3033.3
115,2010,Bergen,30.2030.2,31.4031.4,46.0046.0,55.8055.8,64.6064.6,73.2073.2,78.6078.6,74.6074.6,68.4068.4,55.6055.6,45.0045.0,30.7030.7
116,2011,Bergen,26.5026.5,32.0032.0,40.3040.3,52.5052.5,63.4063.4,71.2071.2,78.4078.4,73.8073.8,68.3068.3,55.1055.1,48.4048.4,39.7039.7
117,2012,Bergen,34.4034.4,38.1038.1,49.4049.4,52.7052.7,64.7064.7,70.0070.0,77.9077.9,75.1075.1,66.7066.7,56.4056.4,41.1041.1,39.0039.0
118,2013,Bergen,32.8032.8,31.5031.5,38.2038.2,51.0051.0,60.9060.9,71.1071.1,78.3078.3,72.1072.1,64.6064.6,56.8056.8,42.3042.3,34.9034.9
119,2014,Bergen,25.6025.6,28.2028.2,34.7034.7,50.1050.1,62.2062.2,71.0071.0,75.2075.2,72.2072.2,67.2067.2,57.0057.0,41.7041.7,37.9037.9
120,2015,Bergen,26.6026.6,20.3020.3,34.8034.8,51.2051.2,66.1066.1,69.8069.8,76.2076.2,75.6075.6,70.8070.8,54.3054.3,49.2049.2,47.0047.0
121,2016,Bergen,31.4031.4,35.1035.1,46.5046.5,51.0051.0,61.1061.1,70.8070.8,77.7077.7,77.4077.4,69.5069.5,56.4056.4,47.2047.2,35.6035.6
122,2017,Bergen,35.8035.8,38.9038.9,37.6037.6,55.5055.5,59.7059.7,70.7070.7,75.2075.2,72.2072.2,68.6068.6,61.3061.3,43.5043.5,32.4032.4
123,2018,Bergen,28.4028.4,38.6038.6,38.2038.2,46.9046.9,65.4065.4,70.3070.3,76.9076.9,77.0077.0,68.9068.9,55.2055.2,41.7041.7,37.2037.2
124,2019,Bergen,30.1030.1,33.6033.6,38.8038.8,53.4053.4,61.3061.3,70.2070.2,78.5078.5,74.3074.3,68.1068.1,57.4057.4,40.6040.6,35.2035.2

,Year,County,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
75,1970,Burlington,24.4024.4,33.1033.1,37.4037.4,49.9049.9,62.7062.7,69.7069.7,74.8074.8,74.6074.6,69.4069.4,57.3057.3,46.8046.8,35.2035.2
76,1971,Burlington,27.0027.0,34.6034.6,39.6039.6,48.9048.9,58.5058.5,71.3071.3,74.1074.1,72.7072.7,69.0069.0,61.3061.3,44.1044.1,41.1041.1
77,1972,Burlington,34.1034.1,31.2031.2,39.6039.6,47.9047.9,60.7060.7,67.0067.0,75.3075.3,72.8072.8,67.0067.0,51.0051.0,42.8042.8,39.9039.9
78,1973,Burlington,33.7033.7,32.4032.4,45.9045.9,52.2052.2,58.6058.6,72.7072.7,75.5075.5,75.6075.6,67.9067.9,57.0057.0,47.0047.0,38.2038.2
79,1974,Burlington,35.8035.8,31.9031.9,43.2043.2,54.1054.1,60.8060.8,68.2068.2,75.0075.0,73.8073.8,66.0066.0,51.9051.9,45.9045.9,38.5038.5
80,1975,Burlington,36.6036.6,35.0035.0,40.3040.3,46.6046.6,64.3064.3,70.3070.3,74.7074.7,74.7074.7,64.0064.0,59.1059.1,50.2050.2,36.2036.2
81,1976,Burlington,28.0028.0,40.2040.2,45.0045.0,54.1054.1,60.7060.7,72.5072.5,73.4073.4,72.6072.6,65.1065.1,51.2051.2,39.5039.5,30.2030.2
82,1977,Burlington,21.1021.1,33.8033.8,46.8046.8,53.6053.6,63.5063.5,68.4068.4,76.2076.2,74.5074.5,68.3068.3,53.9053.9,47.6047.6,34.1034.1
83,1978,Burlington,28.3028.3,23.6023.6,38.0038.0,50.0050.0,58.7058.7,69.5069.5,72.8072.8,75.6075.6,65.0065.0,54.0054.0,46.9046.9,37.7037.7
84,1979,Burlington,32.4032.4,22.7022.7,45.3045.3,49.9049.9,62.4062.4,66.9066.9,73.8073.8,73.6073.6,66.7066.7,54.2054.2,49.4049.4,38.2038.2
85,1980,Burlington,31.6031.6,29.5029.5,39.5039.5,52.6052.6,63.4063.4,68.4068.4,76.7076.7,76.6076.6,69.5069.5,53.6053.6,42.4042.4,32.2032.2
86,1981,Burlington,25.1025.1,37.6037.6,39.1039.1,54.5054.5,61.6061.6,71.5071.5,76.2076.2,71.9071.9,65.7065.7,52.2052.2,44.5044.5,34.0034.0
87,1982,Burlington,24.5024.5,34.4034.4,40.7040.7,48.8048.8,62.7062.7,67.5067.5,75.0075.0,70.9070.9,65.5065.5,55.3055.3,47.8047.8,41.5041.5
88,1983,Burlington,33.2033.2,33.5033.5,43.1043.1,50.6050.6,60.0060.0,70.6070.6,77.0077.0,75.5075.5,67.7067.7,55.5055.5,46.1046.1,33.5033.5
89,1984,Burlington,26.6026.6,39.4039.4,36.2036.2,49.5049.5,60.3060.3,72.4072.4,73.8073.8,74.6074.6,63.8063.8,60.1060.1,44.1044.1,42.1042.1
90,1985,Burlington,26.7026.7,35.0035.0,44.1044.1,54.3054.3,63.7063.7,68.0068.0,74.9074.9,73.0073.0,68.0068.0,57.5057.5,50.3050.3,32.0032.0
91,1986,Burlington,32.4032.4,31.0031.0,43.1043.1,50.9050.9,64.1064.1,71.0071.0,75.7075.7,71.9071.9,66.2066.2,56.6056.6,44.0044.0,37.4037.4
92,1987,Burlington,30.6030.6,30.8030.8,43.2043.2,50.8050.8,62.6062.6,72.6072.6,77.4077.4,72.5072.5,67.0067.0,51.2051.2,47.2047.2,37.8037.8
93,1988,Burlington,26.8026.8,34.0034.0,42.9042.9,49.4049.4,61.3061.3,69.8069.8,77.6077.6,76.6076.6,64.4064.4,50.1050.1,45.9045.9,34.3034.3
94,1989,Burlington,35.8035.8,34.0034.0,41.4041.4,49.8049.8,60.2060.2,72.9072.9,74.1074.1,73.5073.5,67.0067.0,56.4056.4,44.1044.1,24.3024.3
95,1990,Burlington,39.4039.4,40.4040.4,44.9044.9,51.3051.3,59.8059.8,70.6070.6,75.6075.6,73.8073.8,65.0065.0,60.0060.0,47.8047.8,40.9040.9
96,1991,Burlington,33.7033.7,39.0039.0,44.2044.2,53.1053.1,66.9066.9,71.7071.7,76.3076.3,75.3075.3,65.8065.8,56.5056.5,46.2046.2,39.3039.3
97,1992,Burlington,34.1034.1,36.0036.0,39.2039.2,49.6049.6,58.3058.3,67.9067.9,74.2074.2,70.7070.7,66.1066.1,52.0052.0,45.5045.5,36.9036.9
98,1993,Burlington,36.7036.7,30.3030.3,38.4038.4,51.4051.4,62.7062.7,70.5070.5,77.1077.1,74.6074.6,66.5066.5,54.1054.1,45.4045.4,35.0035.0
99,1994,Burlington,26.0026.0,30.3030.3,40.4040.4,55.4055.4,59.1059.1,73.7073.7,78.2078.2,71.3071.3,65.0065.0,53.4053.4,49.7049.7,40.4040.4
100,1995,Burlington,37.2037.2,30.2030.2,44.4044.4,50.8050.8,60.4060.4,70.3070.3,77.3077.3,75.0075.0,67.0067.0,58.9058.9,41.9041.9,31.3031.3
101,1996,Burlington,30.8030.8,33.9033.9,37.5037.5,51.9051.9,59.6059.6,71.6071.6,73.1073.1,73.0073.0,67.6067.6,55.1055.1,40.3040.3,40.0040.0
102,1997,Burlington,32.1032.1,39.8039.8,42.8042.8,49.3049.3,58.2058.2,68.8068.8,75.3075.3,72.3072.3,65.7065.7,55.3055.3,43.4043.4,37.6037.6
103,1998,Burlington,40.6040.6,40.2040.2,44.4044.4,53.6053.6,64.0064.0,69.9069.9,75.6075.6,75.1075.1,69.9069.9,55.9055.9,45.7045.7,40.7040.7
104,1999,Burlington,35.2035.2,36.5036.5,41.2041.2,51.3051.3,61.5061.5,71.6071.6,79.5079.5,75.2075.2,68.3068.3,54.0054.0,49.6049.6,39.4039.4
105,2000,Burlington,31.7031.7,37.3037.3,46.7046.7,50.9050.9,63.4063.4,72.2072.2,72.4072.4,72.3072.3,65.9065.9,56.1056.1,43.7043.7,30.3030.3
106,2001,Burlington,30.9030.9,36.8036.8,39.4039.4,52.7052.7,62.4062.4,72.6072.6,72.3072.3,76.8076.8,65.9065.9,56.5056.5,50.2050.2,42.0042.0
107,2002,Burlington,38.0038.0,39.8039.8,44.6044.6,55.2055.2,61.1061.1,71.5071.5,77.0077.0,76.6076.6,68.8068.8,55.6055.6,44.3044.3,34.8034.8
108,2003,Burlington,27.8027.8,29.3029.3,43.1043.1,49.6049.6,57.4057.4,68.8068.8,75.6075.6,76.2076.2,68.0068.0,54.0054.0,49.8049.8,36.7036.7
109,2004,Burlington,26.2026.2,34.8034.8,44.3044.3,53.0053.0,67.7067.7,70.5070.5,74.8074.8,73.5073.5,68.7068.7,54.7054.7,47.3047.3,37.3037.3
110,2005,Burlington,32.1032.1,35.6035.6,38.6038.6,53.1053.1,57.4057.4,73.0073.0,77.2077.2,77.4077.4,71.0071.0,57.4057.4,48.8048.8,34.2034.2
111,2006,Burlington,40.3040.3,35.5035.5,43.1043.1,54.5054.5,62.6062.6,71.3071.3,77.9077.9,75.6075.6,65.7065.7,54.9054.9,50.9050.9,42.9042.9
112,2007,Burlington,38.8038.8,28.7028.7,42.8042.8,50.0050.0,63.9063.9,71.8071.8,74.9074.9,74.8074.8,69.0069.0,63.1063.1,45.0045.0,37.5037.5
113,2008,Burlington,36.0036.0,37.4037.4,44.0044.0,53.9053.9,59.3059.3,74.4074.4,77.1077.1,72.4072.4,68.6068.6,54.5054.5,44.7044.7,38.5038.5
114,2009,Burlington,29.0029.0,36.8036.8,42.3042.3,53.5053.5,62.6062.6,68.7068.7,73.2073.2,76.0076.0,65.8065.8,54.5054.5,50.0050.0,36.0036.0
115,2010,Burlington,32.7032.7,31.8031.8,47.5047.5,56.6056.6,65.2065.2,75.3075.3,79.4079.4,76.2076.2,70.5070.5,57.1057.1,45.8045.8,31.7031.7
116,2011,Burlington,28.5028.5,37.1037.1,42.4042.4,55.6055.6,65.0065.0,73.4073.4,80.0080.0,74.4074.4,70.4070.4,56.6056.6,50.4050.4,42.2042.2
117,2012,Burlington,37.7037.7,40.2040.2,51.1051.1,53.6053.6,66.4066.4,71.2071.2,79.0079.0,75.9075.9,68.2068.2,57.9057.9,42.2042.2,42.3042.3
118,2013,Burlington,35.4035.4,34.7034.7,39.5039.5,52.6052.6,62.0062.0,72.3072.3,78.7078.7,72.2072.2,65.2065.2,57.9057.9,43.9043.9,37.7037.7
119,2014,Burlington,28.2028.2,31.5031.5,37.5037.5,51.4051.4,62.8062.8,71.8071.8,74.9074.9,71.4071.4,67.5067.5,57.6057.6,43.4043.4,40.2040.2
120,2015,Burlington,30.0030.0,24.7024.7,37.7037.7,52.6052.6,67.4067.4,71.6071.6,76.2076.2,75.2075.2,71.5071.5,55.3055.3,50.8050.8,50.1050.1
